10.185.233.162;10.185.233.162;P55038SPKO1FUZA;p55038spko1fuza.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.161;10.185.233.161;P55038SPKO1SOIA;p55038spko1soia.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.160;10.185.233.160;P55038SPKO1OVVV;p55038spko1ovvv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.159;10.185.233.159;P55038SPKO1DRTV;p55038spko1drtv.hq.szb.sbrf.ru;Microsoft Windows Server 2008 SP2;
10.185.233.158;10.185.233.158;P55038SPKO1PRTO;p55038spko1prto.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.157;10.185.233.157;P55038SPKO1LOTE;p55038spko1lote.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.156;10.185.233.156;P55038SPKO1KOIA;p55038spko1koia.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.153;10.185.233.153;P55038SPKO1RYAV;p55038spko1ryav.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.152;10.185.233.152;P55038SPKO1ITNB;p55038spko1itnb.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.151;10.185.233.151;P55038SPKO1BYOI;p55038spko1byoi.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.148;10.185.233.148;P55038SPKO1ZUVV;p55038spko1zuvv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.147;10.185.233.147;P55038SPKO1GOAV;p55038spko1goav.hq.szb.sbrf.ru;Microsoft Windows Server 2008 SP2;
10.185.233.146;10.185.233.146;P55038SPKO1KONN;p55038spko1konn.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.145;10.185.233.145;P55038SPKO1POS1;p55038spko1pos1.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.143;10.185.233.143;P55038SPKO1LYMN;p55038spko1lymn.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.142;10.185.233.142;P55038SPKO1ANNA;p55038spko1anna.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.141;10.185.233.141;P55038SPKO1PASS;p55038spko1pass.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.140;10.185.233.140;P55038SPKO1MAI2;p55038spko1mai2.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.139;10.185.233.139;P55038SPKO1STA1;p55038spko1sta1.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.138;10.185.233.138;P55038SPKO1KAVA;p55038spko1kava.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.137;10.185.233.137;P55038SPKO1CHN1;p55038spko1chn1.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.135;10.185.233.135;P55038SPKO1STAA;p55038spko1staa.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.134;10.185.233.134;P55038SPKO1KOME;p55038spko1kome.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.133;10.185.233.133;P55038SPKO1LAYN;p55038spko1layn.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.132;10.185.233.132;P55038SPKO1ARM1;p55038spko1arm1.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.131;10.185.233.131;P55038SPKO1KOMA;p55038spko1koma.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.130;10.185.233.130;P55038SPKO1GAMA;p55038spko1gama.hq.szb.sbrf.ru;Microsoft Windows Server 2008 SP1;
10.185.233.129;10.185.233.129;P55038SPKO1ALA2;p55038spko1ala2.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.128;10.185.233.128;P55038SPKO1GOA1;p55038spko1goa1.hq.szb.sbrf.ru;Microsoft Windows Vista SP2;
10.185.233.126;10.185.233.126;P55038SPKO1FIEW;p55038spko1fiew.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.125;10.185.233.125;P55038SPKO1PRAV;p55038spko1prav.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.124;10.185.233.124;P55038SPKO1MISM;p55038spko1mism.hq.szb.sbrf.ru;Microsoft Windows Server 2008 SP1;
10.185.233.121;10.185.233.121;P55029SPOFFYAOV;p55029spoffyaov.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.120;10.185.233.120;P55038SPKO1GOSI;p55038spko1gosi.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.119;10.185.233.119;P55038SPKO1DAEI;p55038spko1daei.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.116;10.185.233.116;P55038SPKO1MIIG;p55038spko1miig.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.115;10.185.233.115;P55012SPOFFKOSP;p55012spoffkosp.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.114;10.185.233.114;P55038SPKO1KUY3;p55038spko1kuy3.hq.szb.sbrf.ru;Microsoft Windows Vista SP2;
10.185.233.113;10.185.233.113;P55038SPKO1SLTL;p55038spko1sltl.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.111;10.185.233.111;P55038SPKO1ALOV;p55038spko1alov.hq.szb.sbrf.ru;Microsoft Windows Vista SP2;
10.185.233.110;10.185.233.110;P55038SPKO1TOLV;p55038spko1tolv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.109;10.185.233.109;P55038SPKO1PASO;p55038spko1paso.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.106;10.185.233.106;P55038SPKO1NEFA;p55038spko1nefa.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.105;10.185.233.105;P55038SPKO1KOAA;p55038spko1koaa.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.104;10.185.233.104;P55038SPKO1KUNI;p55038spko1kuni.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.103;10.185.233.103;DREAM2;dream2.hq.szb.sbrf.ru;Microsoft Windows XP SP2 or Windows Server 2003 SP1 or SP2;
10.185.233.100;10.185.233.100;P55038SPKO1ABIP;p55038spko1abip.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.99;10.185.233.99;P55038SPKO1VOTV;p55038spko1votv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.98;10.185.233.98;P55038SPKO1IVE2;p55038spko1ive2.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.97;10.185.233.97;P55038SPKO1SLDM;p55038spko1sldm.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.95;10.185.233.95;P55038SPKO1MUAV;p55038spko1muav.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
